"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase"
"154","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",0,21,79,7
"155","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",94,6,0,2
"156","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",65,35,0,3
"157","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",0,0,0,NA
"158","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",50,50,0,3
"159","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",98,2,0,1
"160","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",94,6,0,2
"161","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",94,6,0,2
"162","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",0,0,0,NA
"163","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",100,0,0,1
"164","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",100,0,0,1
"165","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",100,0,0,1
"166","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",89,11,0,2
"167","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",0,11,89,8
"168","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"South",100,0,0,1
"169","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",0,0,0,NA
"170","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",0,0,0,NA
"171","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",50,50,0,3
"172","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",97,3,0,1
"173","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",66,34,0,3
"174","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",100,0,0,1
"175","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",0,0,0,NA
