"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit"
"35343","35343","0039613MOR","Acer platanoides 'Erectum'","Schulenberg, RF","s.n.",27,9,1977,"Acer Collection, CC-102/55-90","Yes",0,0,0,NA,NA,NA,NA
"138389","138389","0039608MOR","Acer platanoides 'Erectum'","Hess, WJ","7850",13,8,1997,"Visitor Center area, N-46/Area","Yes",0,0,0,NA,NA,NA,NA
"35344","35344","0039615MOR","Acer platanoides 'Faassen's Black'","Schulenberg, RF","s.n.",27,9,1977,"Acer Collection, EE-102/30-55","Yes",0,0,0,NA,NA,NA,NA
"441","441","0039616MOR","Acer platanoides 'Globosum'","Read, RW","s.n.",14,10,1971,"Acer Collection, CC-103/55-95","Yes",0,0,0,NA,NA,NA,NA
"193601","193601","0108129MOR","Acer platanoides 'Globosum'","Potenberg, K","18624v24",17,10,2024,"China: Landscape Planting: V-61/24-59","Yes",0,0,0,NA,NA,NA,NA
"445","445","0039617MOR","Acer platanoides 'Goldsworth Purple'","Lesica, P","s.n.",24,7,1972,"Acer Collection, M-100/45-65","Yes",0,0,0,NA,NA,NA,NA
"143771","143771","0039621MOR","Acer platanoides 'Goldsworth Purple'","Bolger, K","8779V99",21,5,1999,"Forest Road, S. side; L-90/00-20","Yes",0,0,0,NA,NA,NA,NA
"57329","57329","0039627MOR","Acer platanoides 'Improved Columnare'","Ralston, N","474V85",29,4,1985,"In shrub collection, next to cattail marsh, AZ-115/Area","Yes",0,0,0,NA,NA,NA,NA
"446","446","0039630MOR","Acer platanoides 'Oekonomierat Stoll'","Kammerer, E","s.n.",6,8,1936,NA,"Yes",0,0,0,NA,NA,NA,NA
"68107","68107","0039628MOR","Acer platanoides 'Palmatifidum'","Podrasky, N","808V87",24,4,1987,"Acer Collection, L-100/85-70","Yes",0,63,0,NA,NA,NA,NA
"413","413","0039568MOR","Acer platanoides 'Schwedleri'","Ciolac, C","s.n.",13,4,1972,"Geo-European Collection, W-37/35-20","Yes",0,0,0,NA,NA,NA,NA
"464","464","0039643MOR","Acer platanoides 'Summershade'","Lesica, P","s.n.",25,7,1972,"Tree Evaluation Plot, Row 6; E-96/Area","Yes",0,0,0,NA,NA,NA,NA
"161911","161911","0053234MOR","Acer platanoides 'Undulatum' × platanoides","Bonnewell, V",NA,14,5,2007,"Tree Breeding Nursery, EN1/A02","Yes",0,0,0,NA,NA,NA,NA
"163602","163602","0053230MOR","Acer platanoides 'Undulatum' × truncatum [1]","Bonnewell, V",NA,14,5,2007,"Tree Breeding Nursery, EN1/B15","Yes",0,0,0,NA,NA,NA,NA
