"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit"
"177676","177676","0065608MOR","Tilia","Beck, J","13957v13",15,8,2013,"Tilia: Z-56/77-19","Yes",0,0,0,NA,NA,NA,NA
"190618","190618","0101807MOR","Tilia 'Moltkei'","Worcester, L","LW 590",25,9,2020,"Sargent's Glade: GG-22/49-27","Yes",0,0,0,NA,NA,NA,NA
"190222","190222","0099413MOR","Tilia 'Zamoyskiana'","Worcester, L","LW 607",28,9,2020,"Lower Joy Path: Q-24/73-71","Yes",0,0,0,NA,NA,NA,NA
"188220","188220","0099467MOR","Tilia × europaea 'Pallida'","Worcester, L","LW356",5,9,2018,"Tilia: W-57/55-50","Yes",0,0,0,NA,NA,NA,NA
"188217","188217","0099470MOR","Tilia × europaea L.","Worcester, L","LW350",30,8,2018,"Tilia: AA-54/33-65","Yes",0,0,0,NA,NA,NA,NA
"188445","188445","0099844MOR","Tilia × europaea L.","Worcester, L","LW 454",20,6,2020,"Tilia: O-87/20-96","Yes",0,0,0,NA,NA,NA,NA
"188446","188446","0099843MOR","Tilia × europaea L.","Worcester, L","LW 455",20,6,2020,"Tilia: P-92/97-20","Yes",0,0,0,NA,NA,NA,NA
"187828","187828","0099172MOR","Tilia × flaccida Host ex Bayer","Worcester, L","LW404",25,9,2018,"Tilia: AA-54/18-92","Yes",0,0,0,NA,NA,NA,NA
"188222","188222","0099465MOR","Tilia × flavescens 'Glenleven'","Worcester, L","LW402",25,9,2018,"East Tilia: Q-91/44-18","Yes",0,0,0,NA,NA,NA,NA
"153303","153303","0071421MOR","Tilia × zamoyskiana Wróbl.","Anderson, B","7922",2,8,1979,"Tiliaceae Collection, [Z-52/80-65]","Yes",0,0,0,NA,NA,NA,NA
"188448","188448","0099841MOR","Tilia amurensis subsp. taquetii (C.K.Schneid.) Pigott","Worcester, L","LW 457",13,8,2020,"Korea: P-63/97-58","Yes",0,0,0,NA,NA,NA,NA
"187832","187832","0099170MOR","Tilia begoniifolia Steven","Worcester, L","LW370",13,9,2018,"Propagation: H-30/area (Hoop House 5)","Yes",0,0,0,NA,NA,NA,NA
"190040","190040","0099376MOR","Tilia chinensis Maxim.","Worcester, L","LW 618",30,9,2020,"China: CC-67/37-93","Yes",0,0,0,NA,NA,NA,NA
"187831","187831","0099169MOR","Tilia chingiana Hu & W.C.Cheng","Worcester, L","LW369",13,9,2018,"Propagation: H-30/area (Hoop House 5)","Yes",0,0,0,NA,NA,NA,NA
"190042","190042","0099374MOR","Tilia cordata 'Corzam'","Worcester, L","LW 620",30,9,2020,"Firefly Pond: G-43/45-38","Yes",0,0,0,NA,NA,NA,NA
"190637","190637","0101701MOR","Tilia cordata 'Greenspire'","Worcester, L","LW 569",23,9,2020,"Gateway to Tree Science: F-101/35-48","Yes",0,0,0,NA,NA,NA,NA
"189742","189742","0101219MOR","Tilia cordata 'Halka'","Worcester, L","LW 499",26,8,2020,"West DuPage River: L-28/21-34","Yes",0,0,0,NA,NA,NA,NA
"187827","187827","0099171MOR","Tilia cordata Mill.","Worcester, L","LW371",13,9,2018,"Propagation: H-30/area (Hoop House 5)","Yes",0,0,0,NA,NA,NA,NA
"190639","190639","0101699MOR","Tilia cordata Mill.","Worcester, L","LW 571",23,9,2020,"Gateway to Tree Science: D-100/49-80  Row 7","Yes",0,0,0,NA,NA,NA,NA
"188447","188447","0099842MOR","Tilia cordata Mill.","Worcester, L","LW 456",9,7,2020,"Tilia: AA-53/16-97","Yes",0,0,0,NA,NA,NA,NA
"195738","195738",NA,"Tilia cordata Mill.","Dorrell, J","19019v25",23,10,2025,"Europe: Y-32/49-41","Yes",0,0,0,NA,NA,NA,NA
"187842","187842","0099167MOR","Tilia cordata Mill. subsp. cordata","Worcester, L","LW346",28,8,2018,"Appalachia: AA-73/14-53","Yes",0,0,0,NA,NA,NA,NA
"187826","187826","0099168MOR","Tilia cordata Mill. subsp. cordata","Worcester, L","LW364",13,9,2018,"Propagation: H-30/area (pot in Pot Nursery)","Yes",0,0,0,NA,NA,NA,NA
"187833","187833","0099155MOR","Tilia cordata Mill. subsp. cordata","Worcester, L","LW233",2,7,2018,"Central Europe: DD-34/30-06","Yes",0,0,0,NA,NA,NA,NA
"188236","188236","0099479MOR","Tilia dasystyla subsp. caucasica (V.Engl.) Pigott","DeVries, C","16240v19",3,7,2019,"East Tilia: P-88/17-22","Yes",0,0,0,NA,NA,NA,NA
"188450","188450","0099839MOR","Tilia japonica (Miq.) Simonk.","DeVries, C","16170v19",5,6,2019,"East Tilia: O-89/80-15","Yes",0,0,0,NA,NA,NA,NA
"188221","188221","0099466MOR","Tilia ledebourii Borbás","Worcester, L","LW368",13,9,2018,"Propagation: H-30/area (Hoop House 5)","Yes",0,0,0,NA,NA,NA,NA
"188452","188452","0099837MOR","Tilia mandshurica Rupr. & Maxim.","Worcester, L","LW322",16,8,2018,"China: CC-69/18-33","Yes",0,0,0,NA,NA,NA,NA
"188451","188451","0099838MOR","Tilia mongolica Maxim.","Worcester, L","LW324",16,8,2018,"China: BB-65/69-97","Yes",0,0,0,NA,NA,NA,NA
"188235","188235","0099480MOR","Tilia mongolica Maxim.","Potenberg, K","16231v19",27,6,2019,"Tilia: V-54/40-85","Yes",0,0,0,NA,NA,NA,NA
"196263","196263",NA,"Tilia mongolica Maxim.","Carle, M","16169v19",5,6,2019,"East Tilia: Q-92/25-30","Yes",0,0,0,NA,NA,NA,NA
"190645","190645","0101693MOR","Tilia mongolica Maxim.","Worcester, L","LW 577",23,9,2020,"China: X-62/54-81","Yes",0,0,0,NA,NA,NA,NA
"153302","153302","0071266MOR","Tilia oliveri Szyszyl.","Anderson, B","336-69",2,8,1979,"Tiliaceae Collection, [V-57/90-35]","Yes",0,0,0,NA,NA,NA,NA
"105005","105005","0049452MOR","Tilia oliveri Szyszyl.","Hess, WJ","5315V92",9,7,1992,"Northeast Asia: CC-41/54-11","Yes",0,0,0,NA,NA,NA,NA
"187825","187825","0099162MOR","Tilia oliveri Szyszyl.","Worcester, L","LW325",16,8,2018,"China: AA-65/59-44","Yes",0,0,0,NA,NA,NA,NA
"187843","187843","0099166MOR","Tilia paucicostata Maxim.","Worcester, L","LW337",28,8,2018,"East Tilia: O-87/02-72","Yes",0,0,0,NA,NA,NA,NA
"187839","187839","0099163MOR","Tilia paucicostata var. dictyoneura (V.Engl. ex C.K.Schneid.) H.T.Chang & R.H.Miao","Worcester, L","LW327",16,8,2018,"China: CC-66/81-41","Yes",0,0,0,NA,NA,NA,NA
"28152","28152","0071314MOR","Tilia platyphyllos 'Laciniata'","Eickhorst, W","s.n.",10,6,1948,"[Near Salix Grp]","Yes",0,0,0,NA,NA,NA,NA
"28151","28151","0071313MOR","Tilia platyphyllos 'Laciniata'","Eickhorst, W","s.n.",17,7,1951,"[K-26-41]","Yes",0,0,0,NA,NA,NA,NA
"28150","28150","0071312MOR","Tilia platyphyllos 'Laciniata'","Swink, FA","s.n.",28,7,1964,"[V-55/45-55]","Yes",0,0,0,NA,NA,NA,NA
"190644","190644","0101694MOR","Tilia tomentosa 'Sterling'","Worcester, L","LW 576",23,9,2020,"Gateway to Tree Science: F-101/34-25","Yes",0,0,0,NA,NA,NA,NA
"142087","142087","0071319MOR","Tilia tomentosa Moench","DeMink, L","s.n.",6,7,1998,"Display Area, [B-45/Area]","Yes",0,0,0,NA,NA,NA,NA
"152462","152462","0071320MOR","Tilia tomentosa Moench","Packard, S","9260V01",26,6,2001,"Godshalk Meadow, [O-34/85-00]","Yes",0,0,0,NA,NA,NA,NA
"172539","172539","0057570MOR","Tilia tomentosa Moench","Ball, K","13243v11",1,11,2011,"Display: D-44/75-19","Yes",0,0,0,NA,NA,NA,NA
"187838","187838","0099161MOR","Tilia tomentosa Moench","Worcester, L","LW323",16,8,2018,"Central & Western Asia: CC-68/61-96","Yes",0,0,0,NA,NA,NA,NA
"77154","77154","0049471MOR","Tilia americana var. americana","Hess, WJ","4746",5,7,1979,"Tiliaceae, V-56/90-10","Yes",0,0,10,NA,NA,NA,NA
"186947","186947","0097773MOR","Cercis canadensis 'Greswan'","Dorrell, J","16201v19",13,6,2019,"Godshalk Meadow: N-32/72-32","Yes",0,0,0,NA,NA,NA,NA
"196267","196267",NA,"Cercis canadensis 'Greswan'","Potenberg, K","18907v25",31,7,2025,"Ornamental Flowering Trees: U-32/69-16","Yes",0,0,0,NA,NA,NA,NA
"186972","186972","0098115MOR","Cercis canadensis 'Hearts of Gold'","Dorrell, J","16200v19",13,6,2019,"Godshalk Meadow: N-32/65-11","Yes",0,0,0,NA,NA,NA,NA
"189559","189559","0100972MOR","Cercis canadensis 'UMN7101'","Dorrell, J","17352v22",18,8,2022,"Godshalk Meadow: N-32/81-15","Yes",0,0,0,NA,NA,NA,NA
"35454","35454","0043150MOR","Cercis canadensis f. alba Rehder","Grintz, M","s.n.",28,11,1977,"S side of Meadow Lake, N-50/20-45","Yes",0,0,0,NA,NA,NA,NA
"13916","13916","0043093MOR","Cercis canadensis L.","Kammerer, E","s.n.",8,10,1937,"Sargents' Glade","Yes",0,0,0,NA,NA,NA,NA
"13914","13914","0043095MOR","Cercis canadensis L.","Braham, R","s.n.",3,7,1971,"M-62/45-70","Yes",0,0,0,NA,NA,NA,NA
"98146","98146","0043080MOR","Cercis canadensis L.","Swink, FA","s.n.",30,8,1991,"Arbordale","Yes",0,0,0,NA,NA,NA,NA
"185097","185097","0098916MOR","Cercis canadensis L.","Beck, J","15694v17",28,9,2017,"Thornhill Building: JJ-27/58-73","Yes",0,0,0,NA,NA,NA,NA
"142720","142720","0043154MOR","Cercis canadensis var. texensis (S.Watson) M.Hopkins","Kirt, S","8537V98",15,6,1998,"Hatch Meadow, East side; CC-43/73-05","Yes",0,0,0,NA,NA,NA,NA
"13954","13954","0043166MOR","Cercis chinensis Bunge","Teuscher, H","s.n.",16,4,1923,NA,"Yes",0,0,0,"seedlings",NA,NA,NA
"13960","13960","0043174MOR","Cercis siliquastrum L.","Braham, R","s.n.",8,7,1971,"Between greenhouses","Yes",0,0,0,NA,NA,NA,NA
"147132","147132","0055019MOR","Acer","Wiegrefe, S","864 (1 of 3)",26,6,1997,NA,"Yes",0,0,0,NA,NA,NA,NA
"147133","147133","0055020MOR","Acer","Wiegrefe, S","865 (2 of 3)",26,6,1997,NA,"Yes",0,0,0,NA,NA,NA,NA
"147134","147134","0055021MOR","Acer","Wiegrefe, S","866 (3 of 3)",26,6,1997,NA,"Yes",0,0,0,NA,NA,NA,NA
"147135","147135","0055022MOR","Acer","Wiegrefe, S","867 (2 of 3)",26,6,1997,NA,"Yes",0,0,0,NA,NA,NA,NA
"147146","147146","0055018MOR","Acer","Wiegrefe, S","863 (2 of 3)",26,6,1997,NA,"Yes",0,0,0,NA,NA,NA,NA
"146660","146660","0055067MOR","Acer","Wiegrefe, S","500",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146661","146661","0055066MOR","Acer","Wiegrefe, S","501",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146662","146662","0055065MOR","Acer","Wiegrefe, S","502",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146663","146663","0055057MOR","Acer","Wiegrefe, S","503",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146664","146664","0055058MOR","Acer","Wiegrefe, S","504",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146665","146665","0055059MOR","Acer","Wiegrefe, S","s.n.",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146666","146666","0055060MOR","Acer","Wiegrefe, S","506",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146667","146667","0055061MOR","Acer","Wiegrefe, S","507",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146668","146668","0055062MOR","Acer","Wiegrefe, S","508",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146669","146669","0055063MOR","Acer","Wiegrefe, S","509",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146670","146670","0055064MOR","Acer","Wiegrefe, S","510",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146671","146671","0055854MOR","Acer","Wiegrefe, S","511",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146672","146672","0055056MOR","Acer","Wiegrefe, S","512",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146673","146673","0055353MOR","Acer","Wiegrefe, S","513",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146674","146674","0055112MOR","Acer","Wiegrefe, S","514",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146675","146675","0055113MOR","Acer","Wiegrefe, S","515",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146676","146676","0055114MOR","Acer","Wiegrefe, S","516",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146677","146677","0055115MOR","Acer","Wiegrefe, S","517",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146678","146678","0055116MOR","Acer","Wiegrefe, S","146678",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146679","146679","0055117MOR","Acer","Wiegrefe, S","519",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146680","146680","0055118MOR","Acer","Wiegrefe, S","520",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146681","146681","0055119MOR","Acer","Wiegrefe, S","521",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146682","146682","0055120MOR","Acer","Wiegrefe, S","522",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146683","146683","0055055MOR","Acer","Wiegrefe, S","523",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146684","146684","0055111MOR","Acer","Wiegrefe, S","524",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146685","146685","0055053MOR","Acer","Wiegrefe, S","525",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146686","146686","0055054MOR","Acer","Wiegrefe, S","526",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146687","146687","0055110MOR","Acer","Wiegrefe, S","527",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146688","146688","0055080MOR","Acer","Wiegrefe, S","528",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146689","146689","0055081MOR","Acer","Wiegrefe, S","529",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146690","146690","0055106MOR","Acer","Wiegrefe, S","530",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146691","146691","0055107MOR","Acer","Wiegrefe, S","531",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146692","146692","0055108MOR","Acer","Wiegrefe, S","532",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146693","146693","0055109MOR","Acer","Wiegrefe, S","533",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146694","146694","0055302MOR","Acer","Wiegrefe, S","534",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146695","146695","0055350MOR","Acer","Wiegrefe, S","535",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146696","146696","0055351MOR","Acer","Wiegrefe, S","536",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146697","146697","0055352MOR","Acer","Wiegrefe, S","537",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146698","146698","0055079MOR","Acer","Wiegrefe, S","538",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146699","146699","0055068MOR","Acer","Wiegrefe, S","539",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146700","146700","0055069MOR","Acer","Wiegrefe, S","540",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146701","146701","0055070MOR","Acer","Wiegrefe, S","541",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146702","146702","0055071MOR","Acer","Wiegrefe, S","542",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146704","146704","0055073MOR","Acer","Wiegrefe, S","544",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146705","146705","0055074MOR","Acer","Wiegrefe, S","545",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146706","146706","0055075MOR","Acer","Wiegrefe, S","546",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146707","146707","0055076MOR","Acer","Wiegrefe, S","547",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146708","146708","0055077MOR","Acer","Wiegrefe, S","548",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146709","146709","0055078MOR","Acer","Wiegrefe, S","549",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146724","146724","0055355MOR","Acer","Wiegrefe, S","SJW 95X27-6",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146725","146725","0055356MOR","Acer","Wiegrefe, S","565",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146726","146726","0055357MOR","Acer","Wiegrefe, S","566",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146727","146727","0055358MOR","Acer","Wiegrefe, S","567",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146728","146728","0055359MOR","Acer","Wiegrefe, S","568",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146729","146729","0055360MOR","Acer","Wiegrefe, S","569",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146730","146730","0055361MOR","Acer","Wiegrefe, S","570",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146731","146731","0055362MOR","Acer","Wiegrefe, S","571",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146732","146732","0055363MOR","Acer","Wiegrefe, S","572",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146733","146733","0055364MOR","Acer","Wiegrefe, S","573",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146734","146734","0055365MOR","Acer","Wiegrefe, S","574",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146735","146735","0055367MOR","Acer","Wiegrefe, S","576",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146736","146736","0055366MOR","Acer","Wiegrefe, S","575",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146737","146737","0055368MOR","Acer","Wiegrefe, S","577",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146738","146738","0055369MOR","Acer","Wiegrefe, S","578",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146739","146739","0055370MOR","Acer","Wiegrefe, S","579",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146740","146740","0055371MOR","Acer","Wiegrefe, S","580",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146741","146741","0055372MOR","Acer","Wiegrefe, S","581",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146742","146742","0055444MOR","Acer","Wiegrefe, S","582",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146744","146744","0055446MOR","Acer","Wiegrefe, S","584",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146745","146745","0055447MOR","Acer","Wiegrefe, S","585",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146746","146746","0055448MOR","Acer","Wiegrefe, S","586",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146747","146747","0055449MOR","Acer","Wiegrefe, S","587",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146748","146748","0055450MOR","Acer","Wiegrefe, S","588",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146749","146749","0055451MOR","Acer","Wiegrefe, S","589",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146750","146750","0055452MOR","Acer","Wiegrefe, S","590",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146751","146751","0055453MOR","Acer","Wiegrefe, S","591",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146752","146752","0055454MOR","Acer","Wiegrefe, S","592",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146753","146753","0055455MOR","Acer","Wiegrefe, S","593",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146754","146754","0055456MOR","Acer","Wiegrefe, S","594",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146755","146755","0055457MOR","Acer","Wiegrefe, S","595",19,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146756","146756","0055458MOR","Acer","Wiegrefe, S","596",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146757","146757","0055459MOR","Acer","Wiegrefe, S","597",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146758","146758","0055460MOR","Acer","Wiegrefe, S","598",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146759","146759","0055461MOR","Acer","Wiegrefe, S","599",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146760","146760","0052294MOR","Acer","Wiegrefe, S","600",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146765","146765","0054721MOR","Acer","Wiegrefe, S","605",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146766","146766","0054495MOR","Acer","Wiegrefe, S","606",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146767","146767","0054504MOR","Acer","Wiegrefe, S","607",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146768","146768","0054505MOR","Acer",NA,"608",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146769","146769","0054506MOR","Acer",NA,"609",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146770","146770","0054507MOR","Acer",NA,"610",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146771","146771","0054508MOR","Acer","Wiegrefe, S","611",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146772","146772","0054509MOR","Acer",NA,"612",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146773","146773","0054510MOR","Acer","Wiegrefe, S","613",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146774","146774","0054624MOR","Acer","Wiegrefe, S","614",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146776","146776","0054626MOR","Acer","Wiegrefe, S","617",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146777","146777","0054627MOR","Acer","Wiegrefe, S","618",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146778","146778","0054628MOR","Acer","Wiegrefe, S","620",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146779","146779","0054629MOR","Acer","Wiegrefe, S","621",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146780","146780","0054630MOR","Acer","Wiegrefe, S","622",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146781","146781","0054631MOR","Acer","Wiegrefe, S","623",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146782","146782","0054632MOR","Acer","Wiegrefe, S","624",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146783","146783","0054633MOR","Acer","Wiegrefe, S","625",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146784","146784","0054634MOR","Acer","Wiegrefe, S","626",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146785","146785","0054635MOR","Acer","Wiegrefe, S","627",29,6,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146789","146789","0054639MOR","Acer","Wiegrefe, S","632",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146790","146790","0054640MOR","Acer","Wiegrefe, S","633",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146791","146791","0054727MOR","Acer","Wiegrefe, S","634",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146792","146792","0054728MOR","Acer","Wiegrefe, S","635",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146793","146793","0054729MOR","Acer","Wiegrefe, S","636",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146794","146794","0054730MOR","Acer","Wiegrefe, S","637",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146795","146795","0054731MOR","Acer","Wiegrefe, S","638",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146796","146796","0054732MOR","Acer","Wiegrefe, S","639",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146797","146797","0054733MOR","Acer","Wiegrefe, S","640",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146798","146798","0054734MOR","Acer","Wiegrefe, S","641",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146803","146803","0054739MOR","Acer","Wiegrefe, S","646",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146804","146804","0054740MOR","Acer","Wiegrefe, S","647",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146805","146805","0054741MOR","Acer","Wiegrefe, S","648",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146806","146806","0054742MOR","Acer","Wiegrefe, S","649",23,7,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146920","146920","0053538MOR","Acer","Wiegrefe, S","703",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146921","146921","0053539MOR","Acer","Wiegrefe, S","704",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146922","146922","0053540MOR","Acer","Wiegrefe, S","705",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146923","146923","0053541MOR","Acer","Wiegrefe, S","707",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146924","146924","0053542MOR","Acer","Wiegrefe, S","709",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146925","146925","0053543MOR","Acer","Wiegrefe, S","710",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146926","146926","0053544MOR","Acer","Wiegrefe, S","711",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146929","146929","0053547MOR","Acer","Wiegrefe, S","714",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146930","146930","0053548MOR","Acer","Wiegrefe, S","715",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146931","146931","0053549MOR","Acer","Wiegrefe, S","716",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146932","146932","0053550MOR","Acer","Wiegrefe, S","717",12,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146933","146933","0053551MOR","Acer","Wiegrefe, S","718",14,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146934","146934","0053552MOR","Acer","Wiegrefe, S","719",14,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146935","146935","0053553MOR","Acer","Wiegrefe, S","720",14,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
"146936","146936","0053554MOR","Acer","Wiegrefe, S","721",14,8,1998,NA,"Yes",0,0,0,NA,NA,NA,NA
