"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"1449","194665.0","0109302MOR","Acer maximowiczii Pax","Chen, S","18817v25",8,5,2025,"Acer: Q-100/38-90","Yes",1,79,0,NA,1.25,98.75,0,128,5
"1450","194666.0","0109301MOR","Acer palmatum var. heptalobum Rehder","Chen, S","18816v25",8,5,2025,"Acer: P-100/95-84","Yes",0,42,23,NA,0,64.61538462,35.38461538,128,6
"1451","194675.0","0109320MOR","Acer rubrum var. drummondii (Hook. & Arn. ex Nutt.) Sarg.","Potenberg, K","18768v25",3,4,2025,"Entrance Drive: Q-42/88-33","Yes",0,131,2,NA,0,98.4962406,1.503759398,93,5
"1452","194676.0","0109319MOR","Acer rubrum 'Frank Jr.'","Potenberg, K","18767v25",3,4,2025,"Firefly Pond: F-42/04-14","Yes",0,86,35,NA,0,71.07438017,28.92561983,93,6
"1453","194690.0","0109339MOR","Acer nigrum F.Michx.","Dorrell, J","18796v25",24,4,2025,"Midwwest-East section: O-67/60-21","Yes",3,38,0,NA,7.317073171,92.68292683,0,114,5
"1454","194713.0","0109341MOR","Acer rubrum L.","Chen, S","18824v25",8,5,2025,"Acer: S-103/65-45","Yes",0,0,24,NA,0,0,100,128,9
"1455","194714.0","0109342MOR","Acer tegmentosum 'Joe Witt'","Chen, S","18826v25",15,5,2025,"Meadow Lake - South side: M-51/92-84","Yes",0,0,9,NA,0,0,100,135,9
"1456","194716.0","0109344MOR","Acer negundo L.","Chen, S","18822v25",8,5,2025,"Acer: S-102/49-89","Yes",0,56,0,"Hard to determine",0,100,0,128,5
"1457","194717.0","0109345MOR","Acer negundo var. interius (Britton) Sarg.","Chen, S","18823v25",8,5,2025,"Acer: S-102/73-88","Yes",0,0,34,NA,0,0,100,128,9
"1458","194749.0","0112546MOR","Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray","Potenberg, K","18857v25",19,6,2025,"China: central section: Z-64/45-55","Yes",0,0,17,NA,0,0,100,170,9
"1459","194750.0","0112551MOR","Acer pictum subsp. mono H.Ohashi","Chen, S","18791v25",17,4,2025,"Acer: P-101/61-30","Yes",8,22,0,NA,26.66666667,73.33333333,0,107,NA
"1460","194751.0","0112552MOR","Acer triflorum Kom.","Chen, S","18794v25",17,4,2025,"Acer: R-100/4747-98","Yes",0,58,0,NA,0,100,0,107,5
"1461","194754.0","0112555MOR","Acer saccharum Marshall","Sila, H","18795v25",17,4,2025,"Acer: S-101/13-12","Yes",13,275,0,NA,4.513888889,95.48611111,0,107,5
"1463","195008.0","0112607MOR","Acer triflorum Kom.","Potenberg, K","18851v25",12,6,2025,"Firefly Pond: H-42/35-75","Yes",0,0,4,NA,0,0,100,163,9
"1465","195205.0","0112647MOR","Acer saccharum 'Bailsta'","Chen, S","18898v25",17,7,2025,"Acer: X-102/88-43","Yes",0,0,7,NA,0,0,100,198,9
"1466","195209.0","0112651MOR","Acer cappadocicum Gled.","Chen, S","18926v25",7,8,2025,"Acer: P-101/54-73","Yes",0,0,5,NA,0,0,100,219,9
"1467","195210.0","0112652MOR","Acer saccharum 'Green Mountain'","Chen, S","18927v25",7,8,2025,"Acer: P-101/26-50","Yes",0,0,3,NA,0,0,100,219,9
"1468","195211.0","0112653MOR","Acer saccharum 'Temples Upright'","Chen, S","18928v25",7,8,2025,"Acer: Q-101/73-65","Yes",0,0,2,NA,0,0,100,219,9
"1470","195233.0","0112632MOR","Acer miyabei 'Morton'","Potenberg, K","18935v25",14,8,2025,"Research Parking Median: G-39/74-63","Yes",0,0,8,NA,0,0,100,226,9
"1471","195739.0",NA,"Acer pentapomicum J.L.Stewart","Dorrell, J","19012v25",16,10,2025,"Central & Western Asia: EE-71/60-66","Yes",0,0,11,NA,0,0,100,289,9
"1472","195749.0",NA,"Acer pauciflorum W.P.Fang","Dorrell, J","19003v25",16,10,2025,"China: south section: X-65/17-00","Yes",0,0,5,NA,0,0,100,289,9
"1473","195750.0",NA,"Acer palmatum subsp. amoenum (Carrière) H.Hara","Dorrell, J","19004v25",16,10,2025,"China: south section: W-65/24-21","Yes",0,0,9,NA,0,0,100,289,9
"1474","195752.0",NA,"Acer mono Maxim.","Dorrell, J","19008v25",16,10,2025,"China: central section: AA-68/96-74","Yes",0,0,14,NA,0,0,100,289,9
"1475","195767.0",NA,"Acer × freemanii 'Marmo'","Potenberg, K","19083v26",12,3,2026,"Children's Garden: south fence line: J-48/89-74","Yes",5,24,0,NA,17.24137931,82.75862069,0,71,5
"1476","195774.0",NA,"Acer saccharum Marshall","Dorrell, J","18991v25",2,10,2025,"Midwest: west section: L-62/66-18","Yes",0,0,18,NA,0,0,100,275,9
"1477","195803.0",NA,"Acer saccharum Marshall","Chen, S","18899v25",17,7,2025,"Acer: Y-104/77-22","Yes",0,0,9,NA,0,0,100,198,9
"1478","195826.0",NA,"Acer × freemanii 'Jenner'","Hartley, C.","19088v26",19,3,2026,"Acer: T-101/83-94","Yes",9,123,0,NA,6.818181818,93.18181818,0,78,5
"1479","195830.0",NA,"Acer saccharinum 'Laciniatum'","Hartley, C.","19089v26",19,3,2026,"Acer: U-103/49-00","Yes",58,0,0,NA,100,0,0,78,1
"1480","195831.0",NA,"Acer rufinerve Siebold & Zucc.","Hartley, C.","19090v26",19,3,2026,"Acer: T-99/57-30","Yes",0,0,3,NA,0,0,100,78,9
"1481","195835.0",NA,"Acer rubrum 'Frank Jr.'","Potenberg, K","19102v26",9,4,2026,"Service Area: C-38/96-50","Yes",0,26,323,NA,0,7.449856734,92.55014327,99,9
"1482","195836.0",NA,"Acer triflorum Kom.","Potenberg, K","19103v26",9,4,2026,"Service Area: D-41/30-04","Yes",0,1,16,NA,0,5.882352941,94.11764706,99,9
"1483","196366.0","0039388MOR","Acer campestre subsp. leiocarpum (Wallr.) Pax","Wiegrefe, S","261.0",5,5,1993,"Acer Collection, T-99/30-65","Yes",0,27,24,NA,0,52.94117647,47.05882353,125,6
"1484","1.0",NA,"Acer pseudoplatanus L.","Beck, J","13471v12",24,5,2012,"China: W-63/21-87","Yes",0,0,11,NA,0,0,100,145,9
"1510","59.0",NA,"Acer pseudosieboldianum (Pax) Kom.","Morrison, K","56.0",5,7,2019,"Acer: T-99/67-00","Yes",0,0,6,NA,0,0,100,186,9
"1522","39.0",NA,"Acer turkestanicum Pax","Morrison, K","55.0",5,7,2019,"Acer: T-99/75-79","Yes",0,0,1,NA,0,0,100,186,9
"1523","40.0",NA,"Acer saccharum Marshall.","Potenberg, K","CRTI",17,4,2025,"NN-26/64-90","Yes",77,213,0,"Not in permanent collection",26.55172414,73.44827586,0,107,NA
"1524","41.0",NA,"Acer 'Morton UW'","Shearer, KM","41.0",25,4,2017,"China: X-60/90-63.","Yes",2,19,0,NA,9.523809524,90.47619048,0,115,5
"1525","61.0",NA,"Acer 'Morton UW'","Shearer, KM","40.0",25,4,2017,"China: X-60/90-63.","Yes",10,37,0,NA,21.27659574,78.72340426,0,115,NA
"1526","62.0",NA,"Acer palmatum var. heptalobum Rehder","Dorrell, J","16921v21",26,8,2021,"Acer: S-99/98-17","Yes",0,0,19,NA,0,0,100,238,9
"1527","44.0",NA,"Acer palmatum var. heptalobum Rehder","Dorrell, J","16924v21",26,8,2021,"Acer: Q-101/42-38","Yes",0,0,9,NA,0,0,100,238,9
