"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"274","78318.0","0039372MOR","Acer campestre var. austriacum (Tratt.) DC.","Hess, WJ","1821V88",5,5,1988,"P-38/Area along W route 53.","Yes",5,23,0,NA,17.85714286,82.14285714,0,126,5
"275","78319.0","0039722MOR","Acer rubrum L.","Podrasky, N","1818V88",5,5,1988,"J-54/00-10 in New Larix Collection.","Yes",0,0,265,NA,0,0,100,126,9
"276","78321.0","0039777MOR","Acer saccharinum L.","Podrasky, N","1773V88",28,4,1988,"Acer Collection, O-97/55-60.","Yes",0,0,25,NA,0,0,100,119,9
"277","78500.0","0039728MOR","Acer rubrum L.","Podrasky, N","1783V88",3,5,1988,"Meadow Lake, N-49/50-90.","Yes",0,0,238,NA,0,0,100,124,9
"278","78622.0","0039658MOR","Acer platanoides 'Undulatum'","Podrasky, N","804V87",24,4,1987,"Acer Collection, N-101/30-10","Yes",6,76,0,NA,7.317073171,92.68292683,0,114,5
"279","79101.0","0039873MOR","Acer saccharum Marshall","Podrasky, N","1781V88",3,5,1988,"Near Visitor Center, L-48/65-15","Yes",0,299,15,NA,0,95.22292994,4.777070064,124,5
"280","79421.0","0039864MOR","Acer saccharum Marshall","Podrasky, N","2087V88",22,6,1988,"Near Visitor Center, N-46/05-39","Yes",0,0,19,NA,0,0,100,174,9
"281","80450.0","0039756MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Quist, J","2135V88",12,7,1988,"China Collection, central, BB-66/27-41.","Yes",0,0,34,NA,0,0,100,194,9
"283","80725.0","0039758MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Hess, WJ","2172V88",26,7,1988,"China Collection, AA-63/62-56.","Yes",0,0,79,NA,0,0,100,208,9
"284","80726.0","0039303MOR","Acer campestre L.","Podrasky, N","2154V88",19,7,1988,"P-24/35-10 in Cornales Collection.","Yes",0,0,8,NA,0,0,100,201,9
"285","80728.0","0039761MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Hess, WJ","2171V88",26,7,1988,"China Collection, AA-63/68-34.","Yes",0,0,108,NA,0,0,100,208,9
"287","80756.0","0039306MOR","Acer campestre L.","Podrasky, N","2168V88",19,7,1988,"Q-21/35-35 in Cornales Collection.","Yes",0,0,9,NA,0,0,100,201,9
"290","82736.0","0039832MOR","Acer rubrum 'Schlesingeri'","Shimp, E","2247V89",13,4,1989,"Tree Evaluation Plot, Row 18; E-96/area","Yes",6,137,0,NA,4.195804196,95.8041958,0,103,5
"291","82743.0","0039769MOR","Acer rubrum 'Autumn Flame'","Shimp, E","2248V89",13,4,1989,"Tree Evaluation Plot, Row 20, E-96/Area.","Yes",4,177,0,NA,2.209944751,97.79005525,0,103,5
"292","82745.0","0039721MOR","Acer rubrum L.","Shimp, E","2250V89",13,4,1989,"Acer Collection, R-98/10-85.","Yes",16,159,0,NA,9.142857143,90.85714286,0,103,5
"293","82800.0","0039852MOR","Acer saccharinum L.","Shimp, E","2246V89",13,4,1989,"Forest Road, K-93/60-60","Yes",8,120,0,NA,6.25,93.75,0,103,5
"294","83668.0","0039741MOR","Acer rubrum L.","Shimp, E","2270V89",17,4,1989,"Parking #2, M-56/Area.","Yes",0,78,0,NA,0,100,0,107,5
"295","83669.0","0039717MOR","Acer rubrum L.","Shimp, E","2269V89",17,4,1989,"Diversity, N-57/14-28.","Yes",3,124,0,NA,2.362204724,97.63779528,0,107,5
"296","83671.0","0039738MOR","Acer rubrum L.","Shimp, E","2268V89",17,4,1989,"Diversity, N-57/13-15.","Yes",7,104,0,NA,6.306306306,93.69369369,0,107,5
"297","83677.0","0039821MOR","Acer rubrum 'Columnare'","Shimp, E","2226V89",7,4,1989,"Arbordale, J-29/area","Yes",6,30,0,NA,16.66666667,83.33333333,0,97,5
"298","83678.0","0039840MOR","Acer rubrum 'Silhouette'","Shimp, E","2227V89",7,4,1989,"Arbordale, 6-27/area","Yes",22,92,0,NA,19.29824561,80.70175439,0,97,5
"299","83680.0","0039715MOR","Acer rubrum L.","Shimp, E","2229V89",7,4,1989,"Arbordale, E-29/area.","Yes",5,21,0,NA,19.23076923,80.76923077,0,97,5
"300","83700.0","0039771MOR","Acer rubrum 'Bowhall'","Shimp, E","2275V89",19,4,1989,"Acer Collection, S-103/65-45.","Yes",0,99,0,NA,0,100,0,109,5
"301","83701.0","0039684MOR","Acer rubrum L.","Shimp, E","2276V89",19,4,1989,"Acer Collection, S-103/80-80","Yes",52,4,0,NA,92.85714286,7.142857143,0,109,1
"302","83705.0","0039770MOR","Acer rubrum 'Autumn Flame'","Shimp, E","2273V89",17,4,1989,"Acer Collection, X-60/87-74.","Yes",2,113,0,NA,1.739130435,98.26086957,0,107,5
"303","83706.0","0039822MOR","Acer rubrum 'Columnare'","Shimp, E","2251V89",13,4,1989,"Tree Evaluation Plot, Row 11; E-96/area","Yes",8,6,0,NA,57.14285714,42.85714286,0,103,3
"304","83707.0","0039716MOR","Acer rubrum L.","Shimp, E","2252V89",13,4,1989,"Acer Collection, R-99/70-40.","Yes",5,85,0,NA,5.555555556,94.44444444,0,103,5
"305","83708.0","0039768MOR","Acer rubrum 'Autumn Flame'","Shimp, E","2274V89",19,4,1989,"Acer Collection, S-103/90-20.","Yes",2,160,0,NA,1.234567901,98.7654321,0,109,5
"306","83709.0","0039420MOR","Acer × freemanii A.E.Murray","Shimp, E","2253V89",13,4,1989,"Acer Collection, S-99/30-55.","Yes",16,105,0,NA,13.2231405,86.7768595,0,103,5
"307","84616.0","0039727MOR","Acer rubrum L.","Shimp, E","2326V89",26,4,1989,"Northern Great Lakes, PP-32/Area.","Yes",1,52,1,NA,1.851851852,96.2962963,1.851851852,116,5
"308","84850.0","0043808MOR","Acer japonicum Thunb.","Shimp, E","2313V89",25,4,1989,"Thornhill South Lawn FF-27/Area","Yes",34,33,0,NA,50.74626866,49.25373134,0,115,3
"309","84854.0","0039881MOR","Acer saccharum Marshall","Shimp, E","2309V89",25,4,1989,"Thornhill South Lawn section, GG-26/area","Yes",7,367,0,NA,1.871657754,98.12834225,0,115,5
"310","84896.0","0039989MOR","Acer","Shimp, E","2280V89",19,4,1989,"Acer Collection, U-99/20-30.","Yes",5,137,0,NA,3.521126761,96.47887324,0,109,5
"311","84897.0","0039421MOR","Acer × freemanii A.E.Murray","Shimp, E","2279V89",19,4,1989,"R-103/40-10 in Acer Collection.","Yes",35,20,0,NA,63.63636364,36.36363636,0,109,2
"312","84898.0","0039422MOR","Acer × freemanii A.E.Murray","Shimp, E","2278V89",19,4,1989,"R-103/75-15 in Acer Collection.","Yes",26,29,0,NA,47.27272727,52.72727273,0,109,3
"313","84899.0","0039720MOR","Acer rubrum L.","Shimp, E","2277V89",19,4,1989,"Acer Collection, S-104/50-00.","Yes",53,10,0,NA,84.12698413,15.87301587,0,109,2
"314","85432.0","0039862MOR","Acer saccharum Marshall","Hess, WJ","2371V89",8,5,1989,"Syringa Collection, J-46/90-65","Yes",0,87,0,NA,0,100,0,128,5
"315","85435.0","0039652MOR","Acer platanoides 'Superform'","Hess, WJ","2373V89",8,5,1989,"Lakeview Meadow, L-54/60-99","Yes",2,192,0,NA,1.030927835,98.96907216,0,128,5
"316","86312.0","0039466MOR","Acer heldreichii var. macropterum (Vis.) Pax","Linden, PJ van der","2903V89",16,8,1989,"Diversity Collection, Q-58/11-83","Yes",0,0,8,NA,0,0,100,228,9
"317","88895.0","0040011MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Hess, WJ","2374V89",8,5,1989,"Eleagnaceae Collection, O-54/05-85.","Yes",0,436,0,NA,0,100,0,128,5
"318","89047.0","0039474MOR","Acer heldreichii var. macropterum (Vis.) Pax","Linden, PJ van der","2591V89",1,6,1989,"Colored Foliage, K-94/10-45","Yes",0,30,26,NA,0,53.57142857,46.42857143,152,6
"319","89109.0","0039464MOR","Acer heldreichii Orph. ex Boiss.","Linden, PJ van der","2592V89",30,5,1989,"Frost Hill, D-63/95-45","Yes",0,8,16,NA,0,33.33333333,66.66666667,150,7
"320","89142.0","0039473MOR","Acer heldreichii var. macropterum (Vis.) Pax","Linden, PJ van der","2590V89",30,5,1989,"Diversity Collection, Q-58/11-83","Yes",0,0,2,NA,0,0,100,150,9
"321","89565.0","0040000MOR","Acer saccharum 'Green Mountain'","Packard, S","2714V89",27,6,1989,"East Cloverleaf, M-44/10-88.","Yes",0,0,5,NA,0,0,100,178,9
"322","89697.0","0039880MOR","Acer saccharum Marshall","Packard, S","2713V89",27,6,1989,"East Cloverleaf, M-45/02-06","Yes",0,0,5,NA,0,0,100,178,9
"323","89698.0","0039999MOR","Acer saccharum 'Green Mountain'","Packard, S","2715V89",27,6,1989,"East Cloverleaf, M-45/24-28.","Yes",0,0,9,NA,0,0,100,178,9
"324","89842.0","0039440MOR","Acer griseum (Franch.) Pax","Klock, K","2805V89",27,7,1989,"E-63/80-15 in Frost Hill.","Yes",0,0,19,NA,0,0,100,208,9
"325","90005.0","0039370MOR","Acer campestre var. austriacum (Tratt.) DC.","Klock, K","2770V89",13,7,1989,"F-64/05-65 in Rosaceae.","Yes",0,0,16,NA,0,0,100,194,9
"326","90742.0","0039693MOR","Acer rubrum L.","Shimp, E","3186V90",21,3,1990,"Meadow Lake, N-49/50-90","Yes",0,225,14,NA,0,94.14225941,5.857740586,80,5
"327","90775.0","0039687MOR","Acer rubrum L.","Shimp, E","3184V90",20,3,1990,"Acer Collection, T-104/40-20","Yes",46,196,0,NA,19.00826446,80.99173554,0,79,5
"328","90776.0","0039686MOR","Acer rubrum L.","Shimp, E","3183V90",20,3,1990,"Acer Collection, T-104/1-0","Yes",3,155,0,NA,1.898734177,98.10126582,0,79,5
"329","90777.0","0039685MOR","Acer rubrum L.","Shimp, E","3182V90",20,3,1990,"Acer Collection, R-100/50-30","Yes",18,291,0,NA,5.825242718,94.17475728,0,79,5
"330","90826.0","0039774MOR","Acer rubrum 'Bowhall'","Shimp, E","3185V90",20,3,1990,"Acer Collection, T-103/65-95.","Yes",19,144,6,NA,11.24260355,85.20710059,3.550295858,79,5
"331","90831.0","0039825MOR","Acer rubrum 'Columnare'","Shimp, E","3181V90",20,3,1990,"Acer Collection, R-99/70-70","Yes",46,25,0,NA,64.78873239,35.21126761,0,79,2
"333","91521.0","0039461MOR","Acer davidii subsp. grosseri (Pax) P.C.de Jong","Klock, K","3322V90",15,5,1990,"China Collection, AA-65/04-96","Yes",4,20,0,NA,16.66666667,83.33333333,0,135,5
"334","91522.0","0039463MOR","Acer davidii subsp. grosseri (Pax) P.C.de Jong","Klock, K","3321V90",15,5,1990,"China Collection, AA-66/02-08","Yes",24,156,0,NA,13.33333333,86.66666667,0,135,5
"335","91579.0","0039460MOR","Acer davidii subsp. grosseri (Pax) P.C.de Jong","Klock, K","3320V90",15,5,1990,"China Collection, AA-66/08-25","Yes",0,64,0,NA,0,100,0,135,5
"336","92036.0","0040058MOR","Acer tataricum L.","Klock, K","3391V90",23,5,1990,"Frost Hill, D-63/70-80.","Yes",0,38,0,NA,0,100,0,143,5
"337","92451.0","0039310MOR","Acer campestre L.","Klock, K","3488V90",11,6,1990,"FF-71/38-22 in the Central and Western Asia Collection.","Yes",0,0,13,NA,0,0,100,162,9
"338","93117.0","0040049MOR","Acer tataricum subsp. tataricum","Shimp, E","3642V90",16,7,1990,"Forest Road, N-90/Area.","Yes",0,0,24,NA,0,0,100,197,9
"341","95947.0","0039441MOR","Acer griseum (Franch.) Pax","Gavlak, N","3973V90",22,8,1990,"N-51/50-40 near Meadow Lake.","Yes",0,0,5,NA,0,0,100,234,9
"342","96761.0","0039833MOR","Acer rubrum 'October Glory'","Gavlak, N","4315V91",2,4,1991,"Syringa Collection, K-51/area","Yes",34,31,0,NA,52.30769231,47.69230769,0,92,3
"343","96763.0","0039733MOR","Acer rubrum L.","Gavlak, N","4317V90",2,4,1991,"Near Staff Parking Lot, L-43/Area.","Yes",8,61,0,NA,11.5942029,88.4057971,0,92,5
"344","96782.0","0039782MOR","Acer saccharinum L.","Shimp, E","4280V91",25,3,1991,"Acer Collection, P-100/00-20.","Yes",14,24,0,NA,36.84210526,63.15789474,0,84,3
"345","96783.0","0039784MOR","Acer saccharinum L.","Shimp, E","4281V91",25,3,1991,"Acer Collection, P-99/45-50.","Yes",18,31,0,NA,36.73469388,63.26530612,0,84,3
"346","96784.0","0039783MOR","Acer saccharinum L.","Shimp, E","4279V91",25,3,1991,"Acer Collection, S-100/55-20.","Yes",20,9,0,NA,68.96551724,31.03448276,0,84,2
"347","97004.0","0039788MOR","Acer saccharinum 'Beebe Cutleaf Weeping'","Shimp, E","4285V91",26,3,1991,"Acer Collection, P-99/15-70.","Yes",32,51,0,NA,38.55421687,61.44578313,0,85,3
"348","97020.0","0039781MOR","Acer saccharinum L.","Shimp, E","4288V91",26,3,1991,"Acer Collection, P-98/30-75.","Yes",50,118,0,NA,29.76190476,70.23809524,0,85,NA
"349","97021.0","0039789MOR","Acer saccharinum 'Blair'","Shimp, E","4289V91",26,3,1991,"Acer Collection, P-98/95-80.","Yes",28,119,0,NA,19.04761905,80.95238095,0,85,5
"350","97060.0","0039490MOR","Acer miyabei Maxim.","Packard, S","4421V91",3,5,1991,"Japan Collection, AA-59/30-15","Yes",37,69,0,NA,34.90566038,65.09433962,0,123,NA
"351","97065.0","0039849MOR","Acer saccharinum L.","Shimp, E","4287V91",26,3,1991,"Acer Collection, P-99/35-95","Yes",62,55,0,NA,52.99145299,47.00854701,0,85,3
"352","97066.0","0039856MOR","Acer saccharinum L.","Shimp, E","4286V91",26,3,1991,"Acer Collection, 0-99/95-95","Yes",8,52,0,NA,13.33333333,86.66666667,0,85,5
"353","97067.0","0039786MOR","Acer saccharinum 'Aureum'","Shimp, E","4284V91",26,3,1991,"Colored Foliage, K-97/65-05.","Yes",28,66,0,NA,29.78723404,70.21276596,0,85,NA
"354","97068.0","0039680MOR","Acer rubrum L.","Shimp, E","4290V91",26,3,1991,"Diversity Collection, N-57/28-11","Yes",42,132,0,NA,24.13793103,75.86206897,0,85,NA
"355","97198.0","0039694MOR","Acer rubrum L.","Gavlak, N","4306V91",1,4,1991,"Near Meadow Lake, R-52/25-55","Yes",12,73,0,NA,14.11764706,85.88235294,0,91,5
"356","97245.0","0039695MOR","Acer rubrum L.","Gavlak, N","4304V91",1,4,1991,"Along East Illinois 53, G-38/Area","Yes",35,102,0,NA,25.54744526,74.45255474,0,91,NA
"357","97537.0","0039491MOR","Acer miyabei Maxim.","Altvatter, K","4656V91",13,6,1991,"Japan Collection, AA-59/51-73","Yes",0,0,3,NA,0,0,100,164,9
"358","97716.0","0040033MOR","Acer spicatum Lam.","Packard, S","4622V91",4,6,1991,"Acer Collection, W-61/00-07.","Yes",0,0,106,NA,0,0,100,155,9
"359","97889.0","0039563MOR","Acer platanoides L.","Gavlak, N","4704V91",19,6,1991,"Display Garden, Row 1, B-45/Area","Yes",0,0,10,NA,0,0,100,170,9
"360","98065.0","0039915MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Gavlak, N","4497V91",15,5,1991,"Near Administration Building, K-40/area","Yes",117,183,0,NA,39,61,0,135,3
"361","98274.0","0039924MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Packard, S","4832V91",30,7,1991,"Japanese Collection, AA-58/35-85","Yes",0,0,78,NA,0,0,100,211,9
"362","98275.0","0039803MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Packard, S","4833V91",30,7,1991,"Japanese Collection, AA-58/40-70.","Yes",0,0,27,NA,0,0,100,211,9
"363","98276.0","0039489MOR","Acer miyabei Maxim.","Packard, S","4834V91",30,7,1991,"Japanese Collection, AA-59/30-15","Yes",0,0,1,NA,0,0,100,211,9
"364","98351.0","0039913MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Packard, S","4837V91",30,7,1991,"Japanese Collection, AA-60/35-75","Yes",0,0,49,NA,0,0,100,211,9
"365","98353.0","0039977MOR","Acer truncatum Bunge","Altvatter, K","4844V91",2,8,1991,"Hamamelidaceae Collection, N-96/10-30.","Yes",0,0,9,NA,0,0,100,214,9
"366","98422.0","0039636MOR","Acer platanoides 'Palmatifidum'","Altvatter, K","4841V91",2,8,1991,"Acer Collection, L-100/85-70","Yes",0,0,15,NA,0,0,100,214,9
"367","98424.0","0040042MOR","Acer tataricum L.","Altvatter, K","4901V91",16,8,1991,"Aesculus Collection, M-92/Area.","Yes",0,0,10,NA,0,0,100,228,9
"368","98848.0","0039548MOR","Acer pensylvanicum L.","Altvatter, K","4950V91",26,9,1991,"Appalachia Collection, BB-72/72-70","Yes",0,0,15,NA,0,0,100,269,9
"370","103689.0","0039744MOR","Acer rubrum L.","Packard, S","5007V92",5,5,1992,"Pinaceae Coll., J-54/Area.","Yes",0,0,68,NA,0,0,100,126,9
"372","103792.0","0039879MOR","Acer saccharum Marshall","Packard, S","5002V92",5,5,1992,"East clover leaf, L-43/area","Yes",8,295,10,NA,2.555910543,94.24920128,3.194888179,126,5
"373","103797.0","0039411MOR","Acer cissifolium (Siebold & Zucc.) K.Koch","Packard, S","5011V92",5,5,1992,"E-48/20-05 Dwarf Woody Plants.","Yes",57,122,0,NA,31.84357542,68.15642458,0,126,NA
"376","104030.0","0040009MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Hess, WJ","5043V92",13,5,1992,"Acer Collection, T-102/25-05.","Yes",0,66,18,NA,0,78.57142857,21.42857143,134,6
"377","104034.0","0040007MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Hess, WJ","5045V92",13,5,1992,"Acer Collection, S-102/85-15.","Yes",0,0,4,NA,0,0,100,134,9
"378","104035.0","0040016MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Hess, WJ","5044V92",13,5,1992,"Acer Collection, T-102/05-55.","Yes",0,4,10,NA,0,28.57142857,71.42857143,134,8
"380","104050.0","0040025MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Hess, WJ","5049V92",13,5,1992,"Acer Collection, R-101/70-70.","Yes",0,10,15,NA,0,40,60,134,7
"382","104052.0","0070910MOR","Acer palmatum var. heptalobum Rehder","Hess, WJ","5053V92",13,5,1992,"Acer Collection, [Q-101/20-25]","Yes",0,33,10,NA,0,76.74418605,23.25581395,134,6
"383","104053.0","0039725MOR","Acer rubrum L.","Hess, WJ","5031V92",13,5,1992,"Acer Collection, R-99/70-40.","Yes",0,0,49,NA,0,0,100,134,9
"384","104054.0","0039799MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Hess, WJ","5033V92",13,5,1992,"Acer Collection, S-100/00-25.","Yes",319,2,0,NA,99.37694704,0.6230529595,0,134,1
"386","104056.0","0039384MOR","Acer campestre subsp. leiocarpum (Wallr.) Pax","Hess, WJ","5035V92",13,5,1992,"Acer Collection, S-99/95-85","Yes",0,42,0,NA,0,100,0,134,5
"387","104057.0","0039383MOR","Acer campestre subsp. leiocarpum (Wallr.) Pax","Hess, WJ","5037V92",13,5,1992,"Acer Collection, T-99/30-65","Yes",2,24,0,NA,0,100,0,134,5
"388","104058.0","0039802MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Hess, WJ","5038V92",13,5,1992,"Acer Collection, T-99/75-60.","Yes",246,0,0,NA,100,0,0,134,1
"389","104059.0","0040045MOR","Acer tataricum L.","Hess, WJ","5039V92",13,5,1992,"Acer Collection, T-99/80-80.","Yes",51,0,0,NA,100,0,0,134,1
"392","104066.0","0043809MOR","Acer palmatum var. heptalobum Rehder","Hess, WJ","5055V92",13,5,1992,"Acer Collection P-100/90-80","Yes",5,12,0,NA,29.41176471,70.58823529,0,134,NA
"394","104068.0","0040018MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Hess, WJ","5048V92",13,5,1992,"Acer Collection, S-101/05-85.","Yes",0,10,0,NA,0,100,0,134,5
"395","104074.0","0043813MOR","Acer palmatum var. heptalobum Rehder","Hess, WJ","5054V92",13,5,1992,"Acer Collection Q-101/05-40","Yes",0,17,0,NA,0,100,0,134,5
"397","104132.0","0039798MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Hess, WJ","5032V92",13,5,1992,"Acer Collection, S-100/25-00.","Yes",364,2,0,NA,99.45355191,0.5464480874,0,134,1
"399","104134.0","0039806MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Hess, WJ","5036V92",13,5,1992,"Acer Collection, T-99/20-80","Yes",240,4,0,NA,98.36065574,1.639344262,0,134,1
"400","104135.0","0040043MOR","Acer tataricum L.","Hess, WJ","5040V92",13,5,1992,"Acer Collection, T-100/25-60.","Yes",228,75,0,NA,75.24752475,24.75247525,0,134,2
"402","104498.0","0039800MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Altvatter, K","5124V92",27,5,1992,"Tree Evaluation Plot, Row 13, E-96/Area.","Yes",12,65,0,"Some seeds but they look like from the prior season",15.58441558,84.41558442,0,148,5
"403","104499.0","0039648MOR","Acer platanoides 'Schwedleri'","Packard, S","5133V92",28,5,1992,"Tree Evaluation Plot, Row 4; E-96/Area","Yes",0,0,9,NA,0,0,100,149,9
"404","104500.0","0039379MOR","Acer campestre subsp. leiocarpum (Wallr.) Pax","Altvatter, K","5126V92",27,5,1992,"Tree Evaluation Plot, Row 15","Yes",0,7,43,NA,0,14,86,148,8
"405","104503.0","0039584MOR","Acer platanoides 'Chas. F. Irish'","Packard, S","5138V92",28,5,1992,"Tree Evaluation Plot, Row 8; E-96/Area","Yes",0,0,10,NA,0,0,100,149,9
"406","104504.0","0039604MOR","Acer platanoides 'Crimson King'","Packard, S","5137V92",28,5,1992,"Tree Evaluation Plot, Row 4; E-96/Area","Yes",0,0,5,NA,0,0,100,149,9
"407","104505.0","0039554MOR","Acer pensylvanicum L.","Altvatter, K","5179V92",9,6,1992,"Appalachia Collection, BB-78/58-30","Yes",0,0,34,NA,0,0,100,161,9
"408","104506.0","0088300MOR","Acer pensylvanicum L.","Altvatter, K","5178V92",9,6,1992,"Appalachia Collection, [BB-73/60-11]","Yes",0,0,20,NA,0,0,100,161,9
"409","104546.0","0039809MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Matuszewski, E","5186V92",15,6,1992,"Acer Collection, U-99/35-80.","Yes",0,0,29,NA,0,0,100,167,9
"410","104560.0","0040020MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Matuszewski, E","5188V92",15,6,1992,"Acer Collection, T-103/40-25.","Yes",0,0,11,NA,0,0,100,167,9
"411","104568.0","0039600MOR","Acer platanoides 'Cleveland'","Packard, S","5131V92",28,5,1992,"Tree Evaluation Plot, Row 10; E-96/Area","Yes",0,0,11,NA,0,0,100,149,9
"412","104570.0","0039647MOR","Acer platanoides 'Schwedleri'","Packard, S","5134V92",28,5,1992,"Tree Evaluation Plot, Row 4; E-96/Area","Yes",0,0,6,NA,0,0,100,149,9
"413","104571.0","0039587MOR","Acer platanoides L.","Packard, S","5135V92",28,5,1992,"Tree Evaluation Plot, Row 4, E-96/Area","Yes",0,0,27,NA,0,0,100,149,9
"414","104572.0","0039605MOR","Acer platanoides 'Crimson King'","Packard, S","5136V92",28,5,1992,"Tree Evaluation Plot, Row 4; E-96/Area","Yes",0,0,2,NA,0,0,100,149,9
"416","104585.0","0040019MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Matuszewski, E","5187V92",15,6,1992,"Acer Collection, T-103/85-20.","Yes",0,0,14,NA,0,0,100,167,9
"417","104588.0","0039609MOR","Acer platanoides 'Emerald Queen'","Packard, S","5191V92",16,6,1992,"Tree Evaluation Plot, Row 3, E-96/Area","Yes",0,0,14,NA,0,0,100,168,9
"418","104590.0","0039646MOR","Acer platanoides 'Schwedleri'","Hess, WJ","5240V92",25,6,1992,"Southern Europe, W-37/20-65","Yes",0,0,6,NA,0,0,100,177,9
"419","104597.0","0039804MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Altvatter, K","5123V92",27,5,1992,"Tree Evaluation Plot, Row 13, E-96/Area","Yes",0,122,3,NA,0,97.6,2.4,148,5
"420","104598.0","0039805MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Altvatter, K","5122V92",27,5,1992,"Tree Evaluation Plot, Row 13, E-96/Area.","Yes",11,269,4,NA,3.873239437,94.71830986,1.408450704,148,5
"421","104599.0","0039808MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Altvatter, K","5125V92",27,5,1992,"Tree Evaluation Plot, Row 13, E-96/Area","Yes",137,291,0,NA,32.00934579,67.99065421,0,148,NA
"422","104683.0","0039875MOR","Acer saccharum Marshall","Hess, WJ","5241V92",25,6,1992,"Along Valley Road, V-37/90-66","Yes",0,0,6,NA,0,0,100,177,9
"423","104805.0","0039498MOR","Acer miyabei Maxim.","Packard, S","5254V92",30,6,1992,"Near Parking 26, D-23/75-83","Yes",0,0,29,NA,0,0,100,182,9
"425","104996.0","0039580MOR","Acer platanoides L.","Hess, WJ","5284V92",2,7,1992,"Near Sunfish Pond, X-44/95-10","Yes",0,0,10,NA,0,0,100,184,9
"426","105000.0","0039662MOR","Acer platanoides L.","Hess, WJ","5279V92",2,7,1992,"Near Sunfish Pond, U-43/95-55","Yes",0,0,9,NA,0,0,100,184,9
"427","105029.0","0039876MOR","Acer saccharum Marshall","Hess, WJ","5261V92",1,7,1992,"Just west of Valley Road, W-38/area","Yes",0,0,6,NA,0,0,100,183,9
"428","105945.0","0039987MOR","Acer turkestanicum Pax","Linden, PJ van der","s.n.",31,8,1992,"Frost Hill, E-64/97-00.","Yes",0,0,1,NA,0,0,100,244,9
"429","106051.0","0040048MOR","Acer tataricum L.","Packard, S","5464V92",25,8,1992,"Acer Collection, V-101/90-75.","Yes",0,0,17,NA,0,0,100,238,9
"430","106052.0","0039309MOR","Acer campestre L.","Packard, S","5466V92",25,8,1992,"Y-103/05-75 Acer Collection.","Yes",0,0,5,NA,0,0,100,238,9
"431","106053.0","0039801MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Packard, S","5463V92",25,8,1992,"Acer Collection, V-101/70-60.","Yes",0,0,30,NA,0,0,100,238,9
"432","106273.0","0039407MOR","Acer campestre L.","Packard, S","5465V92",25,8,1992,"W-103/50-85 in Acer Collection.","Yes",0,0,34,NA,0,0,100,238,9
"433","106856.0","0039982MOR","Acer platanoides L.","Altvatter, K","5513V92",9,10,1992,"Display Area, B-48/75-35.","Yes",0,0,8,NA,0,0,100,283,9
"436","111349.0","0039854MOR","Acer saccharinum L.","Packard, S","5564V93",13,4,1993,"Acer Collection, O-97/55-60","Yes",8,82,0,NA,8.888888889,91.11111111,0,103,5
"437","111350.0","0039696MOR","Acer rubrum L.","Altvatter, K","5570V93",16,4,1993,"Near DuPage River, V-45/50-45","Yes",26,14,0,NA,65,35,0,106,2
"438","111354.0","0039793MOR","Acer saccharinum 'Laciniatum'","Packard, S","5566V93",13,4,1993,"Acer Collection, O-96/45-90.","Yes",6,64,0,NA,8.571428571,91.42857143,0,103,5
"439","111359.0","0039826MOR","Acer rubrum 'Columnare'","Packard, S","5561V93",13,4,1993,"Acer Collection, Q-100/85-40","Yes",22,150,0,NA,12.79069767,87.20930233,0,103,5
"440","111361.0","0039819MOR","Acer rubrum 'Columnare'","Packard, S","5562V93",13,4,1993,"Acer Collection, Q-100/75-65","Yes",13,33,0,NA,28.26086957,71.73913043,0,103,NA
"441","111364.0","0039796MOR","Acer saccharinum 'Pendulum'","Packard, S","5568V93",13,4,1993,"Acer Collection, N-94/55-95.","Yes",12,83,0,NA,12.63157895,87.36842105,0,103,5
